league,team,season,games,wins,draws,losses,pts_total,avg_res_for_game,year_of_foundation
Liga Portugal,FC Famalicão,2021-2022,34,9,12,13,45.0,1.1470588235294117,1931
Liga Portugal,FC Famalicão,2022-2023,34,13,5,16,39.0,1.2941176470588236,1931
Liga Portugal,FC Famalicão,2023-2024,34,10,12,12,37.0,1.2352941176470589,1931
Liga Portugal,FC Famalicão,2024-2025,34,12,11,11,44.0,1.3823529411764706,1931
Liga Portugal,FC Paços de Ferreira,2021-2022,34,9,11,14,29.0,1.1176470588235294,1950
Liga Portugal,FC Paços de Ferreira,2022-2023,34,6,5,23,26.0,0.6764705882352942,1950
Liga Portugal,FC Porto,2021-2022,34,29,4,1,86.0,2.676470588235294,1893
Liga Portugal,FC Porto,2022-2023,34,27,4,3,73.0,2.5,1893
Liga Portugal,FC Porto,2023-2024,34,22,6,6,63.0,2.1176470588235294,1893
Liga Portugal,FC Porto,2024-2025,34,22,5,7,65.0,2.088235294117647,1893
Liga Portugal,FC Vizela,2021-2022,34,7,12,15,37.0,0.9705882352941176,1939
Liga Portugal,FC Vizela,2022-2023,34,11,7,16,34.0,1.1764705882352942,1939
Liga Portugal,FC Vizela,2023-2024,34,5,11,18,36.0,0.7647058823529411,1939
Liga Portugal,GD Chaves,2023-2024,34,5,8,21,31.0,0.6764705882352942,1949
Liga Portugal,Gil Vicente FC,2021-2022,34,13,12,9,47.0,1.5,1924
Liga Portugal,Gil Vicente FC,2022-2023,34,10,7,17,32.0,1.088235294117647,1924
Liga Portugal,Gil Vicente FC,2023-2024,34,9,9,16,42.0,1.0588235294117647,1924
Liga Portugal,Gil Vicente FC,2024-2025,34,8,10,16,34.0,1.0,1924
Liga Portugal,Moreirense FC,2021-2022,34,7,8,19,33.0,0.8529411764705882,1938
Liga Portugal,Moreirense FC,2023-2024,34,16,7,11,36.0,1.6176470588235294,1938
Liga Portugal,Moreirense FC,2024-2025,34,10,10,14,42.0,1.1764705882352942,1938
Liga Portugal,Portimonense SC,2021-2022,68,20,16,32,62.0,1.1176470588235294,1914
Liga Portugal,Portimonense SC,2022-2023,34,10,4,20,25.0,1.0,1914
Liga Portugal,Portimonense SC,2023-2024,34,8,8,18,39.0,0.9411764705882353,1914
Liga Portugal,Rio Ave FC,2022-2023,34,10,10,14,36.0,1.1764705882352942,1939
Liga Portugal,Rio Ave FC,2023-2024,34,6,19,9,38.0,1.088235294117647,1939
Liga Portugal,Rio Ave FC,2024-2025,34,9,11,14,39.0,1.1176470588235294,1939
Liga Portugal,SC Braga,2021-2022,34,19,8,7,52.0,1.911764705882353,1921
Liga Portugal,SC Braga,2022-2023,34,25,3,6,75.0,2.2941176470588234,1921
Liga Portugal,SC Braga,2023-2024,34,21,5,8,71.0,2.0,1921
Liga Portugal,SC Braga,2024-2025,34,19,9,6,55.0,1.9411764705882353,1921
Liga Portugal,SC Farense,2023-2024,34,10,7,17,46.0,1.088235294117647,1910
Liga Portugal,SC Farense,2024-2025,34,6,9,19,25.0,0.7941176470588235,1910
Liga Portugal,Sport Lisboa e Benfica,2021-2022,34,23,5,6,78.0,2.176470588235294,1904
Liga Portugal,Sport Lisboa e Benfica,2022-2023,34,28,3,3,82.0,2.5588235294117645,1904
Liga Portugal,Sport Lisboa e Benfica,2023-2024,34,25,5,4,77.0,2.3529411764705883,1904
Liga Portugal,Sport Lisboa e Benfica,2024-2025,34,25,5,4,84.0,2.3529411764705883,1904
Liga Portugal,Sporting CP,2021-2022,34,27,4,3,73.0,2.5,1906
Liga Portugal,Sporting CP,2022-2023,34,23,5,6,71.0,2.176470588235294,1906
Liga Portugal,Sporting CP,2023-2024,34,29,3,2,96.0,2.6470588235294117,1906
Liga Portugal,Sporting CP,2024-2025,34,25,7,2,88.0,2.411764705882353,1906
Liga Portugal,Vitória SC,2021-2022,34,13,9,12,50.0,1.411764705882353,1922
Liga Portugal,Vitória SC,2022-2023,34,16,5,13,34.0,1.5588235294117647,1922
Liga Portugal,Vitória SC,2023-2024,34,19,6,9,52.0,1.8529411764705883,1922
Liga Portugal,Vitória SC,2024-2025,34,14,12,8,47.0,1.588235294117647,1922
Ligue 1,AC Ajaccio,2022-2023,38,7,5,26,23.0,0.6842105263157895,1910
Ligue 1,AS Monaco FC,2021-2022,38,20,9,9,65.0,1.8157894736842106,1924
Ligue 1,AS Monaco FC,2022-2023,38,19,8,11,70.0,1.7105263157894737,1924
Ligue 1,AS Monaco FC,2023-2024,34,20,7,7,68.0,1.9705882352941178,1924
Ligue 1,AS Monaco FC,2024-2025,34,18,7,9,63.0,1.7941176470588236,1924
Ligue 1,AS Saint-Étienne,2021-2022,38,7,11,20,42.0,0.8421052631578947,1933
Ligue 1,AS Saint-Étienne,2024-2025,33,7,6,20,37.0,0.8181818181818182,1933
Ligue 1,Clermont Foot 63,2021-2022,38,9,9,20,38.0,0.9473684210526315,1911
Ligue 1,Clermont Foot 63,2022-2023,38,17,8,13,45.0,1.5526315789473684,1911
Ligue 1,Clermont Foot 63,2023-2024,34,5,10,19,26.0,0.7352941176470589,1911
Ligue 1,FC Girondins de Bordeaux,2021-2022,38,6,13,19,52.0,0.8157894736842105,1881
Ligue 1,FC Lorient,2021-2022,38,8,12,18,35.0,0.9473684210526315,1926
Ligue 1,FC Lorient,2022-2023,38,15,10,13,52.0,1.4473684210526316,1926
Ligue 1,FC Lorient,2023-2024,34,7,8,19,43.0,0.8529411764705882,1926
Ligue 1,FC Metz,2021-2022,38,6,13,19,35.0,0.8157894736842105,1932
Ligue 1,FC Metz,2023-2024,34,8,5,21,35.0,0.8529411764705882,1932
Ligue 1,FC Nantes,2021-2022,38,15,10,13,55.0,1.4473684210526316,1943
Ligue 1,FC Nantes,2022-2023,38,7,15,16,37.0,0.9473684210526315,1943
Ligue 1,FC Nantes,2023-2024,34,9,6,19,30.0,0.9705882352941176,1943
Ligue 1,FC Nantes,2024-2025,34,8,12,14,39.0,1.0588235294117647,1943
